ID,Label,Statement,Subject,Speaker,Speaker Job Title,State,Political Party Affiliation,True Count,False Count,Context
902,false,Bush's tax cuts for high earners have been the biggest contributor to the budget deficit.,federal-budget,nancy-pelosi,House Minority Leader,California,democrat,2,13,during a news conference
1278,false,"""Usually it's about $900 a month to get health coverage. (Florida's program has) reduced that, on average, to about $150 a month.""","florida,health-care",charlie-crist,,Florida,democrat,19,26,a Fox News interview
8037,false,Says Barack Obama is getting his nominees confirmed faster than President (George W.) Bush was at the same time in his second term.,congressional-rules,mitch-mcconnell,Senate minority leader,Kentucky,republican,7,13,an interview on 'Meet the Press.'
13393,false,"Says Morgan Carroll opposed requiring convicted sex offenders to register their online profiles, making it harder to track online sex offenders and child predators.","corrections-and-updates,criminal-justice",national-republican-congressional-committee,,,republican,5,35,a TV ad
5425,false,One estimate says there may be three times as much oil in the United States as there is in Saudi Arabia.,"energy,message-machine-2012",newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,10,42,a televised address
13390,true,Says Donald Trump wants to deport our Dreamers.,immigration,priorities-usa-action,,,democrat,2,5,a TV ad
6151,true,Three of our cities are among the top five worst cities in the U.S. for asthma.,"energy,environment,government-regulation,health-care,public-health,market-regulation",lamar-alexander,,,republican,0,3,prepared remarks at a Congressional field hearing.
4811,true,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,"federal-budget,health-care",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,7,5,a speech
10134,false,Says property insurance rates are going up because Rick Scott signed a bill preventing the state from regulating insurance.,"florida,health-care,housing",charlie-crist,,Florida,democrat,19,26,a gubernatorial debate in Jacksonville
6683,true,$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.,"debt,deficit,federal-budget",rob-portman,U.S. senator from Ohio,Ohio,republican,11,9,a news release
7585,true,"Says $1,100 of the tuition paid by every Oregon university student annually goes just to pay the costs of PERS.","education,retirement",dennis-richardson,state representative,Oregon,republican,2,4,a newsletter
6988,false,The sequester is not something that Ive proposed. It is something that Congress has proposed.,"debates,federal-budget,military",barack-obama,President,Illinois,democrat,163,150,a presidential debate
4730,true,"In Libya, America spent $2 billion total and didnt lose a single life.","military,new-hampshire-2012",joe-biden,U.S. senator,Delaware,democrat,16,25,"a talk at Plymouth State University in Plymouth, N.H."
9835,false,"Under a proposed medical marijuana amendment in Florida, you dont get refills -- you get it forever.","florida-amendments,health-care,marijuana",drug-free-america,,,none,0,1,"a ""Tampa Bay Times"" editorial meeting"
10056,true,"As mayor, [Allan Fung] raised taxes three times.","city-budget,debt,economy,history,job-accomplishments,labor,pensions,retirement,taxes,workers",american-leadhership-pac,Political Action Committee,Rhode Island,organization,2,0,a TV commercial
13384,false,Says Hillary Clinton wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. Thats what could happen. You triple the size of our country in one week.,"homeland-security,immigration",donald-trump,President-Elect,New York,republican,37,238,a campaign rally in Albuquerque
11657,true,There is a federal criminal law that says its a crime to transport dentures across state lines.,public-health,bob-goodlatte,U.S. Congressman,Virginia,republican,3,1,a radio interview.
7373,true,I was never against same-sex marriage.,marriage,leah-ward-sears,,Georgia,none,1,0,newspaper column
11862,false,"Faced with $1 million in campaign debt, Scott Walker is unloading his campaign security costs onto the backs of Wisconsin taxpayers.","campaign-finance,debt,state-budget,transportation",katrina-shankland,State representative,Wisconsin,democrat,0,3,a news release
12152,false,"Says that when Michelle Fields found out that there was a security camera, and that they had her on tape, all of a sudden that story changed.",legal-issues,donald-trump,President-Elect,New York,republican,37,238,a CNN town hall
10924,true,Says Scott Walker cut back early voting and signed legislation that would make it harder for college students to vote.,"civil-rights,education,elections,job-accomplishments,campaign-advertising",hillary-clinton,Presidential candidate,New York,democrat,76,76,a speech
5895,false,Georgia crackdown on illegal immigration costs state farmers $400 million last year.,immigration,charlie-flemming,Atlanta-North Georgia Labor Council President,Georgia,none,0,1,a speech
720,true,John McCain said last year he didn't know of a solution to the mortgage crisis.,"economy,housing",barack-obama,President,Illinois,democrat,163,150,"Golden, Colo."
5697,true,An effort to repeal voting-reform legislation would be the first time in Ohio history where a bill has been passed to stop a referendum.,"elections,government-regulation",eric-kearney,Minority leader in the Ohio Senate,Ohio,democrat,0,0,a speech in the Ohio Senate
5089,false,Were only inches away from no longer being a free economy.,"economy,new-hampshire-2012,market-regulation",mitt-romney,Former governor,Massachusetts,republican,33,85,"a Republican presidential debate in Manchester, N.H."
5490,true,Fifty percent of the graduating class of the year 2012 will have smoked marijuana or have done illegal drugs.,"drugs,marijuana",gary-johnson,Presidential candidate,New Mexico,libertarian,6,5,a forum
557,false,"""The Iranians continue in the view of every objective observer continue to pursue the acquisition of nuclear weapons.""",foreign-policy,john-mccain,U.S. senator,Arizona,republican,37,78,a telephone appearance with Florida voters
1665,true,"The proposed education changes ""will not cut one teacher's pay.""",education,florida-chamber-commerce,,Florida,none,2,2,a television advertisement.
6895,false,Says Obama promised unemployment would never go above 8 percent.,jobs,paul-ryan,U.S. Representative,Wisconsin,republican,14,27,a vice presidential debate
7275,true,"Says a recent study shows Florida students are second in the world in fourth grade reading, behind Singapore.",education,rick-scott,Governor,Florida,republican,34,58,a discussion with black lawmakers
10475,true,Science is very certain that the measles vaccine doesnt cause autism.,public-health,megyn-kelly,"Host of ""The Kelly File""",,talk-show-host,0,1,"a broadcast of ""The O'Reilly Factor"""
12845,true,Trade deals threaten Indias role as the pharmacy of the developing world for new HIV medicines.,"public-health,trade",doctors-without-borders,,,none,1,0,a press release
3398,false,"Says its a statistical reality that most single moms are very poor, under-educated, cant get a job, and if it werent for government assistance, their kids would be starving to death.","children,economy,education,families,health-care,hunger,income,jobs,labor,marriage,poverty,women,workers",mike-huckabee,author,Arkansas,republican,3,21,a post on his PAC's website
9810,false,Nazi imagery [was used] by the Block for Governor campaign to describe supporters of Allan Fung for Governor.,"elections,history,human-rights,campaign-advertising",allan-fung,"mayor, city of Cranston, R.I.",Rhode Island,republican,2,5,a news release
2530,false,"Arkansas Democratic congressional candidate Chad Causey was a Washington, D.C. bureaucrat.","candidates-biography,message-machine",national-republican-congressional-committee,,,republican,5,35,a campaign commercial
7980,true,It is against the law for the NSA to record or monitor Americans phone calls without getting a specific FISA warrant to do so.,"privacy,terrorism",lynn-westmoreland,,,republican,0,2,an article
9265,false,A lot of the problems with forest fires ...is because of bad policy (not to clear out the forests) that was put in place by environmentalists.,"environment,natural-disasters,weather",dana-perino,"Co-host on Fox News Channel's ""The Five""",,republican,0,3,"a broadcast of ""The Five"" on Fox News"
7653,true,"Says a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year.","public-health,taxes",nancy-nathanson,Representative in the Oregon House,Oregon,democrat,0,0,a House floor speech.
4128,false,"Says a new report proves the stimulus supported by N.J. Democrats cost $278,000 per job.",stimulus,national-republican-congressional-committee,,,republican,5,35,a press release
385,true,Says Clinton did not read the National Intelligence Estimate before voting for the Iraq war.,iraq,barack-obama,President,Illinois,democrat,163,150,"a speech in Westerville, Ohio"
5977,false,"Since Scott Walker took office as governor in January 2011, there has been an increase of 33,200 jobs in Wisconsin.","job-accomplishments,jobs,message-machine-2012",scott-walker,Milwaukee County Executive,Wisconsin,republican,40,78,a television ad
11404,false,On the Trans-Pacific Partnership.,trade,hillary-clinton,Presidential candidate,New York,democrat,76,76,an interview on PBS Newshour
8613,false,"Since 1988, Congress has raised its own salary 15 times to reflect rising costs. But raised the minimum wage only three times.","congress,economy,history,income,jobs,labor,poverty,states,workers",facebook-posts,Social media posting,,none,11,68,a Facebook posting
4788,false,George Allens flat tax plan would actually shrink revenues further thanthe Perry (flat tax) plan.,taxes,tim-kaine,U.S. Senator,Virginia,democrat,15,11,a news release.
9783,true,"In Ferguson, Mo.,youve got threeblack officers and 50 white officers with a town that is 67 percent African-American.","crime,public-safety",andrea-mitchell,,,none,1,0,"an episode of NBC's ""Meet the Press"""
5608,true,Says Romney flip-flopped on abortion.,"abortion,message-machine-2012",american-bridge-21st-century,,,democrat,3,3,a video ad
11659,false,"In the weekend after the terrorist attacks in Paris, the White House said this couldnt happen in the United States. ISIS couldnt reach us here.",terrorism,joe-scarborough,Host of a morning show on MSNBC,,none,3,5,"on MSNBC's ""Morning Joe"""
3209,true,Texas added more jobs in 2010 than any other state.,jobs,rick-perry,Governor,Texas,republican,23,78,a speech
1218,false,Medicare officials have treated Humana and AARP inconsistently on how they can communicate with seniors.,"health-care,medicare",house-republicans,,,republican,0,4,an article on its Web site
4438,false,The first round of stimulus ... it created zero jobs.,"economy,jobs,stimulus",rick-perry,Governor,Texas,republican,23,78,the CNN/Tea Party Express debate
5329,true,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.,"education,tourism",marc-schare,Member of the Worthington Board of Education,Ohio,none,0,0,an Ohio House committee hearing
12130,false,Says her representation of an ex-boyfriend who was then my friend in a family law case is something that lawyers do on a regular basis.,"candidates-biography,children,ethics,families,legal-issues",rebecca-bradley,,,none,1,1,a radio interview
7010,true,We got back every dime used to rescue the banks.,financial-regulation,barack-obama,President,Illinois,democrat,163,150,"a campaign speech in Manchester, N.H."
7481,true,"Rhode Island could tell you who has a camper, but we couldnt figure out who has a gun.","guns,market-regulation",linda-finn,landscape designer,Rhode Island,democrat,2,0,a news release
1989,true,Were No. 1 in child hunger.,children,carol-morgan,Career counselor,Texas,democrat,0,0,a speech at the Texas Democratic convention
5502,false,"After President Barack Obamas health care law takes full effect, 100 percent of Americans will depend on some form of federal payment, some form of government benefit to help provide for them.","children,families,health-care,medicaid,medicare",rick-santorum,,Pennsylvania,republican,7,33,"a campaign speech in Steubenville, Ohio"
1246,true,"Forty percent of gross domestic product is state, local, or federal money.","economy,federal-budget,pundits",cokie-roberts,"NPR contributor, ABC commentator",Maryland,journalist,2,1,appearance on This Week with George Stephanopoulos
12358,true,"The market is making this decision. The market has driven down the cost of coal, so you have companies going bankrupt.","climate-change,economy,energy,government-regulation,market-regulation",hillary-clinton,Presidential candidate,New York,democrat,76,76,an interview with CNN's Anderson Cooper
3528,true,Says some [states] with the largest reductions in crime have also lowered their prison population.,"crime,criminal-justice,state-budget",newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,10,42,an op-ed
10598,false,Thomas Paine wrote that the duty of a patriot is to protect his country from his government.,"history,patriotism",rick-perry,Governor,Texas,republican,23,78,a speech
10742,true,SaysLoretta Lynchs nomination has been now sitting there longer than the previous seven attorney general nominees combined.,"congressional-rules,criminal-justice",barack-obama,President,Illinois,democrat,163,150,a press conference
9663,false,"Governing magazine has estimated that in the states that dont expand Medicaid, a minimum, they said of 40 percent of rural hospitals will close in those states...",health-care,richard-saslaw,State Senate Minority Leader,Virginia,democrat,0,6,a TV interview.
7996,false,Im the only candidate for governor whos rolled out any policies so far.,elections,ken-cuccinelli,Attorney General,Virginia,republican,2,12,a news conference.
3067,true,Some of the men serving in the (Afghan) armed forces have never driven a vehicle before.,afghanistan,marco-rubio,U.S. Senator,Florida,republican,35,62,comments to reporters.
9792,true,Jason Carter backed three of Nathan Deals budgets but accuses the governor of underfunding education.,education,john-padgett,party chair,Georgia,republican,0,0,press release
7028,true,Bill Clinton presided over the biggest expansion of the American economy since World War II.,"economy,job-accomplishments",tim-kaine,U.S. Senator,Virginia,democrat,15,11,a debate.
65,true,"""I've cast a couple of 99-1 votes"" and been the lone dissenter.",candidates-biography,fred-thompson,Actor,Tennessee,republican,3,5,"a speech in Sioux City, Iowa"
8225,false,A proposed San Antonio ordinance will allow men into womens restrooms in the city.,"city-government,legal-issues",texas-values,,,none,0,2,an email blast
197,false,"""Hillary's baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20-billion per year, multiplied by four years = $80-billion.""",federal-budget,republican-national-committee-republican,,,republican,5,14,a Web site.
2795,true,Republican plan to extend Bush tax cuts would double deficit projections going forward for the next couple of decades.,"deficit,federal-budget,taxes",tim-kaine,U.S. Senator,Virginia,democrat,15,11,a TV interview.
10518,false,Says Supreme Court Justice Sonia Sotomayor has animmigrant family background.,"corrections-and-updates,immigration",laura-ingraham,Political commentator and radio talk show host,,none,0,8,"a broadcast of the ""Laura Ingraham Show"""
13463,false,Americas tax code hasnt been updated in 30 years.,taxes,paul-ryan,U.S. Representative,Wisconsin,republican,14,27,a tweet
1805,false,"Says U.S. Rep. Lamar Smith supported the $700 billion Wall Street bailout in 2008, ""but now he is standing in the way of reforms that would assure these bailouts would never happen again.","campaign-finance,economy,financial-regulation",lainey-melnick,Real estate broker,Texas,democrat,0,1,an e-mail blast
13424,false,"Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasnt had an impact.",health-care,ron-johnson,,Wisconsin,republican,10,21,a U.S. Senate debate
5110,false,"Shes voted for 60 tax increases, hurting the middle class and small businesses.",taxes,rob-cornilles,consultant,Oregon,republican,1,3,
4300,false,Our credit rating went up since Ive been in office.,"corrections-and-updates,financial-regulation,state-finances",rick-scott,Governor,Florida,republican,34,58,an interview with Panama City radio station WFLA 94.5
11500,false,Says he didnt have an involvement withnutritional supplement company Mannatech.,candidates-biography,ben-carson,,,republican,2,23,"a Republican presidential debate in Boulder, Colo."
9977,false,This Congressadjourned earliest of any time in congressional history before an election.,"congress,elections,history",laura-ingraham,Political commentator and radio talk show host,,none,0,8,"comments on ABC's ""This Week"""
5016,false,"Says Rep. Betty Sutton supports allowing welfare fund withdrawals from strip clubs, casinos and liquor stores.","government-regulation,welfare",national-republican-congressional-committee,,,republican,5,35,a news release
3875,false,"Part of his ride was to warn the British that were already there that, Hey, youre not going to succeed.","history,pundits",sarah-palin,,Alaska,republican,6,34,an interview on Fox
12352,false,"You have to be a citizen to vote, but with same-day voter registration, you have places where people just walk in and vote.","elections,immigration",donald-trump,President-Elect,New York,republican,37,238,an interview on 'Meet the Press'
7920,false,A study ranked Florida No. 1 in government corruption under Gov. Rick Scott.,ethics,florida-democratic-party,,Florida,democrat,5,12,a Web video
679,true,"""As governor, I've stood up to ... the big oil companies.""",energy,sarah-palin,,Alaska,republican,6,34,"Dayton, Ohio"
8348,true,"In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol.",immigration,lamar-smith,Congressman,Texas,republican,3,7,a flier mailed to constituents
10186,true,Kansas has not elected somebody other than a Republican (to the U.S. Senate) since before The Wizard of Oz hit the movie theaters.,elections,jonathan-karl,ABC News chief White House correspondent,,journalist,0,0,"comments on ABC's ""This Week"""
3048,true,"On average, Americans spend less than 10 percent of their disposable income on food. Compare that to folks in Mexico, who spend 22 percent, China, 28 percent and Russia, 37 percent.","agriculture,china,economy",todd-staples,state agriculture commissioner,Texas,republican,3,2,an op-ed
12252,false,Were the worst state in the country at moving people from welfare to work.,welfare,catherine-hanaway,Candidate for governor of Missouri,Missouri,republican,0,1,a Republican gubernatorial debate
12350,false,"We have been focusing so much, especially the Texas Department of Transportation, on that 97 percent of people in single-occupancy vehicles.",transportation,sylvester-turner,Attorney,Texas,democrat,2,2,a ceremony to introduce new local transit authority chairman
108,false,"""Rural schools enroll 40 percent of American children, but receive only 22 percent of federal education funding.""",education,john-edwards,former senator,North Carolina,democrat,4,3,"Des Moines, Iowa."
8737,true,Our economy still has three people looking for every job (opening).,"economy,jobs,labor",gene-sperling,Director of the National Economic Council,,democrat,0,1,"an interview on CNN's ""State of the Union"""
10751,false,Medicaid patients were 97 percent more likely to die than those with private insurance.,"health-care,medicaid,state-budget",richard-corcoran,State Representative,Florida,republican,0,1,an email to constituents
5720,true,"Says at the state level were spending more on tax expenditures than we are on public safety, health care and education combined.","education,health-care,public-safety,state-budget,taxes",jefferson-smith,state representative,Oregon,democrat,4,2,a candidates' forum.
12892,false,Says Barack Obama founded ISIS. I would say the co-founder would be crooked Hillary Clinton.,"foreign-policy,terrorism",donald-trump,President-Elect,New York,republican,37,238,"a speech in Sunrise, Fla."
5426,false,"There are more atheists in the country right now than Jews, Muslims, Hindus and Buddhists combined and doubled.",religion,david-silverman,"President, American Atheists",,activist,0,1,a story on TV website
7069,false,Says Ovide Lamontagne wants to eliminate kindergarten.,education,new-hampshire-democratic-party,,New Hampshire,democrat,3,4,a campaign mailer to New Hampshire residents
2776,true,The interest on the debt now is going to approach in the next couple of years ... what we spend in the national defense budget.,"federal-budget,military,abc-news-week",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,12,18,"an interview on ABC's ""This Week with Christiane Amanpour"""
11490,false,Most Americans are now getting their news from Facebook.,"economy,polls,pop-culture,technology",rebecca-kleefisch,Candidate for lieutenant governor,Wisconsin,republican,0,5,a public forum
3377,false,State employees will have to pay 100 percent of their pensions and health insurance after 2012.,"health-care,labor,state-budget",chain-email,,,none,5,159,a chain email apparently focused on Wisconsin corrections workers
10398,true,"Currently, Florida is one of only five states in the nation that prohibit citizens from buying electricity from companies that will put solar panels on your home or business.",energy,floridians-solar-choice,,Florida,none,1,0,a statement on a website
8255,false,One out of every three students currently today is ready for college before they go there.,education,will-weatherford,State Representative,Florida,republican,3,5,at Suncoast Tiger Bay luncheon
3681,true,"Says using E-Verify is a fair amount of cost, about $20 per person that does not match.",immigration,jd-alexander,State senator,Florida,republican,1,2,comments to the 'St. Petersburg Times' and 'Miami Herald'
8739,true,"There are many studies that indicate that the longer people get unemployment insurance, it provides some disincentive to work.","economy,workers",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,12,18,"an interview on ABC's ""This Week with George Stephanopoulos"""
3872,false,Rep. Robert Hurt voted again today to end Medicare and raise health care costs for Virginia seniors.,"federal-budget,medicare",democratic-congressional-campaign-committee,,,democrat,1,28,an e-mail.
10624,true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","foreign-policy,history,terrorism",mitch-mcconnell,Senate minority leader,Kentucky,republican,7,13,"an interview on CNN's ""State of the Union"""
12423,false,The only two (Donald Trump tax returns) we have show that he hasnt paid a penny in taxes.,"bankruptcy,candidates-biography,history,income,campaign-advertising,taxes,wealth",hillary-clinton,Presidential candidate,New York,democrat,76,76,"an interview on NBC's ""Meet the Press"""
1465,true,"Some Republicans who voted against the stimulus ""have been all too happy to claim credit for Recovery Act projects and the jobs those projects have produced. They come to the ribbon cuttings.""","economy,federal-budget,stimulus",barack-obama,President,Illinois,democrat,163,150,a town meeting in New Hampshire
6842,true,Says Romney wants to add $2 trillion to the defense budget that the military hasnt asked for.,"debates,deficit,military,taxes",barack-obama,President,Illinois,democrat,163,150,a presidential debate in Denver
12795,false,"Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.",immigration,catherine-cortez-masto,,Nevada,democrat,1,1,a news release
6850,false,Says President Obama has doubled the deficit.,"debates,deficit,federal-budget",mitt-romney,Former governor,Massachusetts,republican,33,85,the first presidential debate in Denver
11122,false,"Under Gov. Scott Walker, Wisconsin projected a $1 billion (budget) surplus and it turns out to be a deficit of $2.2 billion.","candidates-biography,deficit,state-budget,state-finances,taxes",donald-trump,President-Elect,New York,republican,37,238,a speech
949,false,"""In just one month, the Democrats have spent more than President Bush spent in seven years on the war in Iraq, the war in Afghanistan and Hurricane Katrina combined.""","afghanistan,federal-budget,iraq",mitch-mcconnell,Senate minority leader,Kentucky,republican,7,13,a speech at the Conservative Political Action Conference
9087,true,Medicare has spent $172 million on penis pumps in the last five years at $360 a pop.,"medicare,sexuality",ilyse-hogue,President of NARAL Pro-Choice America,,activist,1,0,"an interview on ""The Daily Show"""
8401,true,Eighty percent of the antibiotics in this country are fed to livestock.,"agriculture,animals,consumer-safety,drugs,environment,food-safety,public-health,science",louise-slaughter,,New York,democrat,1,1,an interview on MSNBC
4504,false,Says Rick Perry wrote a letter supporting Hillarycare.,health-care,ron-paul,U.S. representative,Texas,republican,8,16,a presidential debate
9325,false,Says Hillary Clinton spent 30 days in the hospital in 2012 and appeared wearing glasses that are only for people who have traumatic brain injury.,elections,karl-rove,,Texas,republican,8,7,a panel discussion
8950,false,Says Alaska Sen. Mark Begich supported President Barack Obamas economic policies 97 percent of the time.,"bipartisanship,congress",dan-sullivan,Alaska Department of Public Resources commissioner,Alaska,republican,0,4,a campaign email blast
4738,true,"The average homeowner spends more than $2,000 each year on energy costs more than on either real estate taxes or homeowners insurance.","energy,housing",johnny-isakson,U.S. Senator,Georgia,republican,2,5,a press release
2929,false,"When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.","children,disability,health-care,history,medicare,social-security",barack-obama,President,Illinois,democrat,163,150,a press conference
4565,true,"U.S. unemployment among people ages 16 to 24 is 18.4 percent, which is a 60-year high.","jobs,occupy-wall-street,workers",matthew-rothschild,,,none,1,0,an interview
6237,false,The health care law is the largest tax [increase] in the history of our country,"health-care,taxes",phil-gingrey,U.S. Congressman,Georgia,republican,1,8,a radio interview
11386,true,"Irans regime is responsible for more than 1,000 American casualties during the Iraq war and has plotted a terrorist attack here in our nations capital.","foreign-policy,iraq,terrorism",michael-mccaul,congressman,Texas,republican,4,1,the Republican weekly radio/TV address
598,false,"Obama ""says he'll raise taxes on electricity.""",taxes,john-mccain,U.S. senator,Arizona,republican,37,78,a television ad
6457,false,Says U.S. Rep. Martin Heinrich spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.,"jobs,message-machine-2012,stimulus",american-future-fund,,,organization,0,5,an advertisement
5145,false,Rob Cornilles has disputed for two years a news story that said he said he would cut Social Security and Medicare programs before trimming the U.S. defense budget.,"medicare,social-security",rob-cornilles,consultant,Oregon,republican,1,3,a debate
12632,true,The United States is the oldest democracy in the world.,history,paul-ryan,U.S. Representative,Wisconsin,republican,14,27,a TV interview
8850,true,Nearly 90% of Travis County government races will be settled by the time of the Democratic primary.,"county-government,elections",wayne-thorburn,,,republican,1,0,an opinion column in the Austin American-Statesman
4703,true,1.53 million jobs are at risk (from potential defense cuts).,"deficit,jobs,message-machine-2012,military",randy-forbes,Representative,Virginia,republican,3,1,a web ad.
12535,false,ISIS is running through a border made porous by Barack Obamas policies.,"immigration,terrorism",greg-abbott,governor,Texas,republican,6,19,addressing the Republican Party of Texas state convention
4328,true,Says that Wall Street hedge fund managers pay a lower tax rate than does a sheet metal worker in Parma or a school teacher in Cleveland.,"income,taxes",sherrod-brown,U.S. Senator,Ohio,democrat,8,8,a television interview
